牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
A615 Grade 40,ASTM A615/A615M-2016 钢筋混凝土配筋用变形和光面坯钢筋,碳钢,,,,,,,,,,,G40,,,
F3125 Grade A325 Type 1,ASTM F3125/F3125M-2019 热处理的钢和合金钢的高强度结构螺栓和组件——最小抗拉强度120ksi(830Mpa)~150ksi(1040Mpa),碳钢,,,,,,,,,,,,,,
SS490,JIS G 3101-2015 普通结构用轧制钢材,碳钢,,,,,,,,,,,,,,
Y45,GB /T 8731-2008 易切削结构钢,碳钢,硫系易切削钢,本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品,,,易切削性,U70452,,,,,,,,
Q275B,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  质量等级B  碳素结构钢,具有较高的强度、硬度，较好的耐磨性，一定的焊接性和可加工性，小型零件可以淬火强化，塑性和韧性较差。 用户举例： 用于制造强度要求较高的零件，如齿轮、轴、链轮、键、螺栓、螺母、农机用型钢、输送链和链节，以及钢结构用各种型钢、条钢、钢板等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,,U12755,,,,C5,Q275BZ,,,
060A78,BS 970-1-1983 英国标准规范机械和相关工程用锻钢 第一部分 碳钢，碳锰钢，合金钢和不锈钢的一般检验试验程序和具体要求,碳钢,,,,,,,,,,,,,,
ML45,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
S50C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
QSt38-3,DIN 1654-2-1989 冷镦和冷挤压钢 非热处理镇静碳钢的交货条件,碳钢,,注： 用于脱氧和氮控制的铝（总含量超过0.02%），可以用具有类似效果的其他元素代替,,,锻压性,,1.0234,,,,,,,
T9,GB /T 1299-2014 工模具钢,碳钢,刃具模具用非合金钢,,,,,T00090,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15410,1541,,,,,,1041,,,,
E5716,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
DH620,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
S235J0,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0114,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15480,1548,,,,,,1048,,,,
C30E,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
PH 29,ISO 9330-4-2000 具有特定高温性能的埋弧焊非合金和合金钢管,碳钢,,,,,,,,,,,,,,
IFI-1035,"ASTM F2282-2018 机械紧固件用碳素和合金钢丝, 杆材和棒材质量保证要求标准规范",碳钢,,,,,,,,,,,,,,
C20D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0414,,,,,,
ML25,GB /T 6478-2015 冷镦和冷挤压用钢,碳钢,优质碳素结构钢  铆螺钢,调质型冷镦和冷挤压用钢 强度高于ML20钢，冷变形塑性好，无回火脆性。 用于制作螺钉、螺栓、弹簧座、固定销等。 1、本标准适用于公称直径为5mm~60mm的热轧盘条和公称直径为12mm~100mm的热轧圆钢。 2、钢材交货状态：一般以热轧状态交货。经供需双方协商，并在合同中注明，也可以退火状态交货。 3、尺寸、外形、重量及允许偏差： 热轧圆钢应符合GB/T 702的规定；热轧盘条应符合GB/T 14981-2009的规定，其中尺寸和外形允许偏差应符合B级精度的规定；根据供需双方协商，可供应其他规格及精度的圆钢和盘条,,,锻压性,U40252,,,,,,,,
SWRCH50K,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
0/3,BS 3111(1)-1987 用于冷锻紧固件和类似部件的钢 第1部分：碳钢和低合金钢钢丝规范,碳钢,,用于制造螺栓、螺钉、螺母等紧固件。,,,锻压性,,,,,,,,,
USt 38,DIN 17111-1980 螺栓、螺母和铆钉用低碳非合金钢,碳钢,非镇静钢,1、本标准适用于产品厚度最大不超过40mm，不进行热处理(淬火和回火)和表面硬化，并用于热或冷成形的螺栓，螺母和铆钉的非合金低碳钢，与之相关的是强度要求或切削性能。 2、举例：钢UQSt 36，数字代号1.0204，条件未经处理轧制表面（U或00）表示为 UQSt 36U或1.2040.00,,,,,1.0217,,7.85 g/cm3,,,,,
C15E2C,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
1132,SAE J403-2014 碳钢的化学成分,碳钢,,,G11320,,,,,,,,,,,
C50E,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,高级优质非合金钢,,,,,,,,,,,,,
Ck55,DIN 17222-1979 弹簧用冷轧带钢; 交货技术条件,碳钢,特种钢,其他名称牌号后缀字母E-要求控制硫含量上限,,,,,1.1203,,,,,,,
A686 Type W1-8 Grade A,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
B-SWRCH10A,Q/BQB 517-2018 冷镦钢盘条,碳钢,铝镇静钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
,ASTM A510/A510M-2013 碳钢及合金钢盘条和粗圆钢丝通用要求,碳钢,,该牌号线材是制造自攻螺丝、机械螺丝、建筑螺丝、电子螺丝、汽车螺丝等的材料。 注 硅含量：≤0.1%；0.07～0.15%；0.1～0.2%；0.15～0.35%；0.2～0.4%或0.3～0.6%,G10350,1035,冲击韧性  易切削性  焊接性  渗碳性,,,,,C1035,,,,
C30,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
SWCH 15R,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,沸腾钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
A194 Grade 2HM,ASTM A194/A194M-2020 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,2HM螺母应由热锻或冷锻制成，或由经热锻、热轧、冷拉的棒料加工制成，并应进行热处理以满足机械性能的要求。此等级牌号应均匀地再加热到适当的奥氏体温度(一组这样的再加热称为淬火批)，并对每一淬火批在基本上均匀条件下淬火，然后进行回火，其热处理制度为在液体中淬火；最低回火温度1150°F(620°C)。按本标准热处理的棒料加工制成的螺母不必重新热处理。2HM的螺母，其最终的消除应力热处理在所有成形操作、机加和攻丝之后进行，热处理温度高于或等于此最低回火温度。,,,,,,,,,,,,
490Y,ISO 13887-2017 具有更高的屈服强度和更好的成形性冷轧薄钢板,碳钢,,,,,,,,,,,,,,
T13A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00133,,,,,,,,
SWRH67B,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
1025,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10250,,,,,,,,,,,
C55,DIN 17200-1987 调质钢材的供货技术条件,碳钢,优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.0535,,,,,,,
A546 Grade 1035,ASTM A546-1982 中高碳钢丝，冷镦优质，六角头螺栓,碳钢,碳钢,在本标准中只对化学成分做出规定，没规定力学性能。本标准于1991被撤销,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,可用于制作紧固件等,G10300,1030,,,,,,,,,,
C15C,EN 10263-2-2017 盘条，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,非热处理钢,,,,锻压性,,,1.0234,,,,,,
20nc,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素钢  半镇静钢,,,,,,,,,,,,,
SM50,YB /T 107-2013 塑料模具用热轧钢板,碳钢,,,,,,,,,,,,,,
C50,ISO 683-1-2016 淬火和回火用非合金钢,碳钢,优质钢,,,,,,,,,,,,,
A108 Grade 1095,ASTM A108-1999 冷成形钢棒品质的标准规范,碳钢,,本规范涵盖按化学成分生产的标准质量冷加工碳钢棒。标准质量的冷加工棒材适用于热处理，加工成部件，或在成品状态下使用，如轴系，或建筑应用，或用于其他类似用途。钢材的等级由等级编号或化学成分确定。,G10950,,,,,,,,,,,
41CrNiMo2E,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,表面硬化型冷镦钢,,,,,,,,,C40,,,,
C105W1,DIN 17350-1980 工具钢；交货技术条件,碳钢,冷作非合金工具钢,,,,,,1.1545,,,,,,,
E5015-N7,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
20G,GB 5310-2008 高压锅炉用无缝钢管,碳钢,优质碳素结构钢,,,,,U50207,,,,,,,,
SGD 290-D,JIS G 3123-2004 冷加工碳钢和合金钢棒材,碳钢,,①化学成分应符合标准JIS G 3108的规定 ②材料牌号表示符号，如SGD 290-D9 表示用通用钢SGD A（JIS G 3108）制造的冷精型钢棒，经冷拔加工至公差等级IT9，并保证机械性能。 本标准规定了用于机械结构和各类机械零件的碳钢及合金钢圆棒材、六角棒材、方形棒材及扁钢,,,,,,,,,,,,
A615 Grade 75,ASTM A615/A615M-2016 钢筋混凝土配筋用变形和光面坯钢筋,碳钢,,,,,,,,,,,G75,,,
F3125 Grade A325M Type 1,ASTM F3125/F3125M-2019 热处理的钢和合金钢的高强度结构螺栓和组件——最小抗拉强度120ksi(830Mpa)~150ksi(1040Mpa),碳钢,,,,,,,,,,,,,,
SS540,JIS G 3101-2015 普通结构用轧制钢材,碳钢,,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11460,1146,,,,,,,,,,
Q275C,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  质量等级C  碳素结构钢,具有较高的强度、硬度，较好的耐磨性，一定的焊接性和可加工性，小型零件可以淬火强化，塑性和韧性较差。 用户举例： 用于制造强度要求较高的零件，如齿轮、轴、链轮、键、螺栓、螺母、农机用型钢、输送链和链节，以及钢结构用各种型钢、条钢、钢板等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性,U12758,,,,,Q275CZ  Q275,,,
37Mn5,Q/BQB 150-2003,碳钢,,,,,,,,,,,,,,
75,GOST 14959-1979 轧制弹簧碳钢和合金钢规范,碳钢,镇静钢,,,,强度  硬度  弹性,,,,,,,,,
ML35,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
T10,GB /T 1299-2014 工模具钢,碳钢,刃具模具用非合金钢,,,,,T00100,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15470,1547,,,,,,,,,,
E5728,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
10,GB /T 699-1999 优质碳素结构钢,碳钢,,10号钢塑性、韧性很好，易冷热加工成形，正火或冷加工后切削加工性能好，焊接性优良，无回火脆性，淬透性和淬硬性均差。制造要求受力不大、韧性高的零件，如汽车车身、贮器、深冲压器皿、管子、垫片等，可用作冷轧、冷冲、冷镦、冷弯、热轧等工艺成形，也可用作心部强度不高的渗碳件、碳氮共渗件等。 可制作抽芯铆钉钉芯 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,冲击韧性  锻压性  易切削性  焊接性,U20102,,,,,,,,
DH690,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
S235J0C,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,该牌号适合冷翻边、冷弯成形和冷拔 ①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0115,7.85 g/cm3,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15510,1551,,,,,,1051,,,,
C30R,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
PH 35,ISO 9330-4-2000 具有特定高温性能的埋弧焊非合金和合金钢管,碳钢,,,,,,,,,,,,,,
IFI-1038,"ASTM F2282-2018 机械紧固件用碳素和合金钢丝, 杆材和棒材质量保证要求标准规范",碳钢,,,,,,,,,,,,,,
C26D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0415,,,,,,
SWRCH12R,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,沸腾钢,,,,,,,,,,,,,
St12,DIN 1623-1 用于冷成型的低碳钢冷轧钢带和钢板的供货技术条件,碳钢,,①表面形式为一般冷轧表面的本牌号标记St12 O3是制造DIN 432 - 1983外舌止动垫圈、DIN463-1974双耳止动垫圈的材料之一 ②本标准规定的扁钢材的正确标记方法： —钢种的缩写名称（如St12）或材料号(1.0330)； —表面形式的缩写符合：O3-一般冷轧表面；O5-最佳表面； —表面类别的标记字母：b-特别光亮；g-光亮；m-无光泽；r-粗糙 示例：St12 O3r或1.0330 O3r；USt13 O5g或1.0333 O5g,,,,,1.033,,7.85 g/cm3,,,,,
